component_id,name,role,input_format,output_format,is_novel,replaceable_by,ablation_priority,notes
AMP-C1,Task-demand target,Define the computation that an actuator must realize,"task inputs and targets","routing dynamics or memory demand",no,"standard task generator; real task protocol",medium,"Exp30 explicit mixtures are historical; Exp31 queries one random value to remove algebraic shortcuts"
AMP-C2,Associative key memory,Store content-addressable support information,"dense keys and labelled values","retrieved class evidence",no,"prototype; ridge head; attention",high,"Dense capacity-limited keys replace the historical one-hot exact-retrieval shortcut"
AMP-C3,Reward-only controller,Select an executed actuator from local scalar feedback,"action and executed reward","action values and policy coordinate",no,"fixed best; random; Bayes filter",high,"A standard bandit-like controller used only in synthetic feasibility panels"
AMP-C4,Persistent feedback eligibility,Assign delayed scalar feedback to executed history,"action trace and delayed reward","local action-value update",no,"opposite eligibility; no-feedback update",high,"Full-stream scores charge exploration and adaptation; the opposite control is not budget matched"
ORB-C1,Frozen visual encoder,Map raw frames to shared embeddings,"RGB frame [3,H,W]","unit embedding [D]",no,"EfficientNet-B0; ViT-B/32; CLIP; DINOv2",low,"Identical frozen weights and transforms across every paired Exp34 condition"
ORB-C2,Support prototype memory,Bind each held-out user object from clean support,"support embeddings and labels","class prototypes and statistics",no,"nearest neighbour; linear head; Naive Bayes",medium,"All clean frames are eligible; forbidden clean-video annotations are excluded"
ORB-C3,Diagonal gain motif,Reweight unreliable embedding coordinates,"support statistics and current embedding","gain-adjusted class evidence",no,"identity; whitening; FiLM",high,"Standard support-derived operator; no query quality annotation or label is available"
ORB-C4,Delta association motif,Write bounded class associations into a fast state,"support keys and labels","class evidence",no,"prototype; ridge head; Gated DeltaNet",high,"Standard delta-memory operator; support-only writes are audited"
ORB-C5,Temporal accumulation motif,Maintain causal class evidence through clutter,"current class evidence and previous state","temporally integrated evidence",no,"no recurrence; fixed EMA; GRU",high,"Standard EMA-like operator using only the current and earlier frames"
ORB-C6,Causal-prefix consistency router,Historical selector under audit,"current operator predictions and past within-video counts","selected current class prediction",no,"prefix vote; prefix probability accumulation; calibrated stack",high,"Exp35 opposes this component as a reliability router and demonstrates stable-wrong lock-in"
ORB-C7,Task head,Decode object identity from a common class map,"motif or controller evidence","object label",no,"cosine or linear readout",medium,"The class map is formed from support only"
ORB-C8,Full-bank cost accounting,Charge every computed motif and controller state,"per-frame actuator events","event L1 state bytes and optional MACs",no,"sparse early exit; confidence trigger",high,"Current Exp34 has no efficiency claim because all four motifs execute"
ORB-C9,High-rank E/I carrier,Execute selected effective currents in a participating state,"selected motif currents","Dale E/I population state",no,"score-space state; non-Dale carrier",high,"Separate programme component excluded from the current paper"
ORB-C10,Causal prefix probability accumulator,Aggregate class evidence over frames,"current class probabilities and previous cumulative evidence","prefix-averaged class probabilities",no,"prefix vote; EMA; Bayesian filter",high,"Strongest Exp35 baseline; positive mechanism evidence is retrospective and the multi-operator bank value is inconclusive"
ORB-C11,Matched causal reliability audit,Separate concentration routing from temporal accumulation and stable error,"frozen support query tape operator probabilities and registered interventions","user-level paired effects and failure-boundary metrics",yes,"generic algorithm-selection evaluation; ordinary ablation suite",high,"Novelty is claimed only for the combined ORBIT information boundary exact stable-wrong control and evidence-governed audit; not for any individual baseline"
MEM-C1,Frozen high-dimensional carrier,Provide per-frame visual embeddings without external adaptation,"bbox-cropped Stream-51 RGB frame","EfficientNet-B0 embedding",no,"other frozen encoder",high,"Same representation and evidence tape for every Exp38 condition"
MEM-C2,Train-only vMF evidence model,Convert frozen embeddings to class evidence and generative surprise,"support-video unit embeddings","class probabilities and relative log likelihood",no,"diagonal Gaussian; calibrated logistic-normal",high,"Directions and concentration fit on support videos only; temperature fits development-fit videos"
MEM-C3,Three-statistic causal control state,Represent surprise entropy and fast/slow disagreement,"current evidence and past state","three standardized causal scalars",yes,"larger HMM; learned recurrent state",high,"Normalization fits development-fit only and no deployable input uses labels or future frames"
MEM-C4,Continuous memory-horizon actuator,Map causal state to one retention and update evidence memory,"three causal scalars and prior evidence state","scalar retention and class belief",yes,"hard reset; fixed EMA; sliding window",high,"Tested without autograd BPTT or representation update; qualification reachability was not robust and no external utility claim is supported"
MEM-C5,Outcome-lock qualification gate,Require memory value adaptive headroom switch harm and reachability before external access,"disjoint development qualification videos","pass or fail-closed receipt",yes,"single validation score",high,"Triggered as designed: 0/5 joint passes kept all external features and outcomes locked"
FUM-C1,Factorized uncertainty state,Separate abrupt hazard gradual process volatility and observation noise,"causal innovations and prior filter state","h_t Q_t R_t",yes,"single scalar retention; fixed noise parameters",high,"Implemented as three local online-EM scalars with no future inputs autograd BPTT or test-time optimization"
FUM-C2,State-aware Bayesian update,Convert h Q and R into a predictive distribution and effective learning rate,"prior mean covariance and current observation","posterior state predictive NLL and effective gain",no,"Kalman filter; HMM; directional delta update",high,"Novelty cannot rest on standard Bayesian filtering"
FUM-C3,Matched fixed and IMM controls,Provide strong alternatives using the same observations and fit split,"same causal observation tape","fixed-filter and model-averaged predictions",no,"best EMA; window; fixed Kalman; STAD-style state-space filter",high,"Must beat selected fixed and four-mode seen-condition IMM; eight-mode factorial IMM and dynamic truth filter are disclosed privileged upper bounds"
FUM-C4,Orthogonal uncertainty generator,Manipulate stochasticity abrupt hazard and gradual drift independently,"registered factorial parameters and seed","latent and observed trial blocks",no,"standard switching linear dynamical system",high,"Fit sees baseline plus isolated elevations; pairwise and triple combinations are primary held-out compositions"
FUM-C5,Selective state clamps,Test whether each factorized state has a distinct computational role,"fitted h Q R state with one component clamped","condition-specific NLL and recovery deficits",yes,"global controller ablation",high,"All three selectivity directions must be frozen before outcomes"
