name,paper_title,source_url,category,implementation,selected,comparison_policy,strengths,limitations
Cosine-ProtoNet,Prototypical Networks for Few-shot Learning,https://github.com/microsoft/ORBIT-Dataset,foundational,rerun_same_features,yes,paired,"Standard non-gradient personalization; official ORBIT implementation","Framewise unless paired temporal wrapper is added"
ProtoNet-LITE,Memory Efficient Meta-Learning with Large Images,https://proceedings.neurips.cc/paper_files/paper/2021/hash/cc1aa436277138f61cda703991069eaf-Abstract.html,direct_competitor,paper_and_optional_upstream,yes,paper_reported_separate,"Strong official-scale episodic baseline","Different backbone/training cannot be mixed into paired significance tests"
Adaptive-ProtoNet,Improving ProtoNet for Few-Shot Video Object Recognition,https://arxiv.org/abs/2210.00174,direct_competitor,upstream_or_reimplementation,yes,paired_when_rerun,"Challenge-winning adaptation and sampling controls","Published number predates later official backbone table"
Linear-Head,ORBIT FineTuner baseline,https://github.com/microsoft/ORBIT-Dataset,direct_competitor,rerun_same_features,yes,paired,"Strong simple transfer baseline","Requires gradient personalization"
LN-Tune,Strong Baselines for Parameter-Efficient Few-Shot Fine-Tuning,https://ojs.aaai.org/index.php/AAAI/article/view/28978,direct_competitor,additive_baseline,yes,paired,"Modern strong parameter-efficient baseline","More mutable parameters and adaptation compute"
FiT,FiT: Parameter Efficient Few-shot Transfer Learning,https://openreview.net/forum?id=9aokcgBVIj1,direct_competitor,optional_reimplementation,no,paper_reported_separate,"Strong low-shot personalization framing","Exact ORBIT video protocol requires additional adaptation"
Fixed-Temporal-EMA,N/A,local,ablation_anchor,rerun_same_features,yes,paired,"Tests whether temporal smoothing alone suffices","Single global time constant"
GRU-BPTT,N/A,local,sequence_baseline,yes,paired,"Capacity-matched learned temporal baseline","BPTT baseline only; not a local learner"
Fixed-Best-Motif,N/A,local,ablation_anchor,rerun_same_features,yes,paired,"Primary causal comparator with identical actuator library","Cannot adapt mechanism choice"
Reward-Selector-Shuffled,N/A,local,mechanism_control,rerun_same_features,yes,paired,"Breaks action-credit specificity with matched observations and updates","Negative control rather than competitive method"
Oracle-Per-Frame,N/A,local,upper_bound,rerun_same_features,yes,paired,"Measures selectable headroom","Uses query label and is never deployable"
Gated-Delta-Memory,Gated Delta Networks,https://arxiv.org/abs/2412.06464,mechanism_baseline,small_task_specific_module,yes,paired,"Modern fast-weight association rule","Not an official ORBIT model; must use same frozen features"
