name,paper_title,arxiv_id,code_url,category,datasets_tested,metrics_reported,strengths,weaknesses,selected,selection_reason
Train-Fixed-Best,N/A,N/A,experiments/exp31_hidden_reliability_reward_selector.py,local_primary_control,"Exp31; Exp32",full-stream accuracy,"One immutable actuator selected without test context","Cannot react to hidden switches",yes,"Primary lower comparator for controller value"
Matched-Random-Probe,N/A,N/A,experiments/exp31_hidden_reliability_reward_selector.py,local_exploration_control,Exp31,full-block accuracy,"Matches forced probe schedule","Ignores observed reward",yes,"Separates learning from exploration tape"
Associative-Query-Shuffled,N/A,N/A,experiments/exp31_hidden_reliability_reward_selector.py,local_mechanism_control,Exp31,accuracy,"Preserves writes state and update budget","Breaks content address and is not competitive",yes,"Tests associative query specificity"
Opposite-Eligibility,N/A,N/A,experiments/exp32_persistent_sparse_feedback.py,local_credit_intervention,Exp32,full-stream accuracy,"Moves reward credit to the nonexecuted action","Update budget is not matched",yes,"Causal eligibility-location intervention"
No-Feedback-Local,N/A,N/A,experiments/exp32_persistent_sparse_feedback.py,local_negative_control,Exp32,full-stream accuracy,"Matches local state and action sampler","Cannot exploit feedback",yes,"Checks whether controller state alone helps"
Bayes-Reward-Filter,N/A,N/A,experiments/exp32_persistent_sparse_feedback.py,model_based_control,Exp32,full-stream accuracy,"Uses a registered hazard without true test state","Uses train state labels and potential outcomes",yes,"Calibrated comparator for persistent reward evidence"
Hidden-State-Oracle,N/A,N/A,experiments/exp32_persistent_sparse_feedback.py,upper_bound,"Exp31; Exp32",accuracy,"Measures available controller headroom","Accesses true hidden test state and is undeployable",yes,"Diagnostic only"
Cosine-ProtoNet,Prototypical Networks for Few-shot Learning,1703.05175,https://github.com/microsoft/ORBIT-Dataset,foundational,ORBIT,test frame accuracy,"Standard non-gradient personalization with official implementation","Framewise unless a temporal wrapper is paired",yes,"Main published same-backbone reference and paired motif"
ProtoNet-LITE,Memory Efficient Meta-Learning with Large Images,N/A,https://proceedings.neurips.cc/paper/2021/hash/cc1aa436277138f61cda703991069eaf-Abstract.html,direct_competitor,ORBIT,test frame accuracy,"Official-scale episodic representation training","Different training budget prevents paired inference from paper numbers",yes,"Strong representation comparison for the next scale step"
Adaptive-ProtoNet,Improving ProtoNet for Few-Shot Video Object Recognition,2210.00174,https://arxiv.org/abs/2210.00174,direct_competitor,ORBIT,test frame accuracy,"Challenge-winning adaptation and sampling design","Published run is not on the Exp34 frozen tape",yes,"Closest task-specific modern method"
ORBIT-FineTuner,ORBIT A Real-World Few-Shot Dataset for Teachable Object Recognition,2104.03841,https://github.com/microsoft/ORBIT-Dataset,direct_competitor,ORBIT,test frame accuracy,"Simple gradient personalization baseline","Mutable parameters and optimization cost differ",yes,"Published context and future same-tape rerun"
LN-Tune,Strong Baselines for Parameter-Efficient Few-Shot Fine-Tuning,N/A,https://ojs.aaai.org/index.php/AAAI/article/view/28978,direct_competitor,few-shot transfer,"accuracy; mutable parameters","Strong parameter-efficient baseline","Requires task-specific gradient adaptation",yes,"Needed before any efficiency claim"
Fixed-Temporal-EMA,N/A,N/A,experiments/exp34_orbit_causal_consensus.py,local_ablation,ORBIT,user and task-video accuracy,"Tests one reusable causal temporal motif","Single global time constant",yes,"Rules out gains from simply adding any recurrence"
Instantaneous-Majority,N/A,N/A,experiments/exp34_orbit_causal_consensus.py,local_state_free_control,ORBIT,user accuracy,"Uses all four current-frame predictions without state","Still computes the full actuator bank",yes,"Separates heterogeneous ensembling from causal belief"
Memoryless-Consensus,N/A,N/A,experiments/exp34_orbit_causal_consensus.py,local_state_intervention,ORBIT,user accuracy,"Resets count belief every frame","Degenerates to one tie-broken current decision",yes,"Direct causal-state intervention"
Eight-Frame-Delayed-Consensus,N/A,N/A,experiments/exp34_orbit_causal_consensus.py,local_delay_intervention,ORBIT,user accuracy,"Preserves the rule while delaying evidence","Delay is one registered value",yes,"Tests timing specificity"
Oracle-Per-Frame,N/A,N/A,experiments/exp34_orbit_causal_consensus.py,upper_bound,ORBIT,user accuracy,"Measures selectable actuator headroom","Uses query labels and is never deployable",yes,"Headroom and retention diagnostic only"
Gated-DeltaNet,Gated Delta Networks Improving Mamba2 with Delta Rule,2412.06464,https://arxiv.org/abs/2412.06464,mechanism_context,sequence modelling,sequence benchmark metrics,"Modern gated fast-weight association rule","Not an official ORBIT model and requires end-to-end training",no,"Architectural context rather than a current paired baseline"
