session_id,object_id,feature_path,n_frames,feature_dim,source_fingerprint
s1,o1,s1/o1.npz,300,1280,20368806f502704ac95ab9cd6487c9604bb906665dfcddad51ae9fb3888d8481
s1,o2,s1/o2.npz,296,1280,c7da0920d4052aec183cd68cf240aed71398bbcefb43845f770298bccce10897
s1,o3,s1/o3.npz,300,1280,3533e8a34d9b6ee0fde3aca40eba2fbf8763c07d3877dfe1630c94ff0abb8fad
s1,o4,s1/o4.npz,300,1280,bb9975bc7f8b9f87a42f05f84554007d665e0ec6afab5ffe2d32abed2313d846
s1,o5,s1/o5.npz,300,1280,125ee8b12b091e0f559ab407b5c5e3d1a41c5601aa8efda34b083eff6b036cc4
s1,o6,s1/o6.npz,299,1280,8bbf47812f788dfdfbb98f04ada4afdaa3f2f65939b1f8444f2c01f05c7c2914
s1,o7,s1/o7.npz,300,1280,0652b649332282c256490eac77a05fe27c577c4abfb336ac81740d9bb581213a
s1,o8,s1/o8.npz,300,1280,55b1fc8c4ad376a378ff73131def37b8cd303ab92dff79dfebfdb5af3a657633
s1,o9,s1/o9.npz,298,1280,bbef6246e3425364ba8fda60b307921d9149f47d9d6a7181ff9f070c4468cdf4
s1,o10,s1/o10.npz,300,1280,5dc4e226a97b5aa1414eb7919aa95372662a96361345fa578083a8b34bda775b
s1,o11,s1/o11.npz,300,1280,8eceb53c89aed561a68ee6e7926a75bed04b3d4a8cb1dae18422c0859be2e8d7
s1,o12,s1/o12.npz,299,1280,78d084e6a59df42fe73a83bbc9eb85a85a9aae69bc7fa873b6babe727cb90207
s1,o13,s1/o13.npz,300,1280,61b13974b3f6aa7aeb0e77a9346cf5bb266891d0106c77ff63a04f7a1489ad1a
s1,o14,s1/o14.npz,300,1280,c970d7909f8fa43698b6e49016dad0c2aba03aa7674f9e4cb7c7def58e769c67
s1,o15,s1/o15.npz,300,1280,2aa7e907c09539f4f7aac4cb1b6ae2322bccea0809fe5ed29a2fe8f62b9c9a33
