experiment_id,title,track,disposition,conclusion,current_successor,canonical_evidence,reason
exp00,Local predictive fixed point,physical_low_rank,historical_only,support,exp08,results/history/branch_snapshots/real-lowdim-validation/project_README.md,Analytic fixed-point sanity check belonged to the abandoned physical-low-rank framing
exp01,Feedback dimension and geometry sweep,physical_low_rank,historical_only,support,exp08,results/history/branch_snapshots/real-lowdim-validation/report.md,Original synthetic result remains reproducible but low feedback dimension was incorrectly interpreted as low physical connection rank
exp02,Oracle context E/I gate,legacy_context_gate,historical_only,mixed,exp09,results/history/branch_snapshots/real-lowdim-validation/report.md,Oracle access to true context cannot establish hidden-context inference
exp03,Supervised Hebbian context gate,legacy_context_gate,historical_only,mixed,exp09,results/history/branch_snapshots/real-lowdim-validation/report.md,Supervised context labels and the legacy gate were superseded by leakage-safe hidden-HMM inference
exp04,Rate-matched phase gate,phase_gate,historical_only,oppose,none,results/history/branch_snapshots/real-lowdim-validation/report.md,The registered rate-matched phase effect was absent so the independent phase-gate proposal was rejected
exp05,Public sequence-memory shared dynamics,legacy_real_data,historical_only,inconclusive,exp25,results/history/branch_snapshots/real-lowdim-validation/report.md,Data coverage and validation were insufficient for the current multi-session shared-model claim
exp06,IBL context-switch pilot,legacy_real_data,historical_only,inconclusive,exp11,results/history/branch_snapshots/real-lowdim-validation/report.md,The early restricted-session protocol was superseded by leakage-safe behavior and later neural protocols
exp07,Paired mechanism-identifiability audit,credit_assignment,historical_only,support,exp08,results/history/branch_snapshots/effective-control-p0/report.md,Useful P0 precursor but the active theory now separates credit tangent physical update rank and effective control
exp08,Rank-stage and credit-tangent validation,credit_assignment,current_foundation,support,none,results/current/foundation_claims.csv,Current foundation for high-rank physical E/I updates with low-dimensional credit assignment
exp09,Hidden-HMM belief gate,belief_gate,current_foundation,support,none,results/current/foundation_claims.csv,Leakage-safe learned gates do not access true context and include causal interventions
exp10,Belief-to-Dale-E/I bridge,belief_ei,current_foundation,support,exp21,results/exp10_bridge_formal_summary.csv,Establishes a bounded frozen-receiver bridge while Exp21 provides the stronger full-trajectory audit
exp11,IBL behavior belief benchmark,real_behavior,current_foundation,mixed,exp25,results/exp11_ibl_behavior_real_summary.csv,Real behavior supports hidden-block inference but does not yet validate shared neural dynamics
exp12,Structured routing interface,reasoning_exploration,historical_only,inconclusive,exp13,experiments/exp12_structured_routing.py,Interface precursor without a formal result package and superseded by task-specific reasoning audits
exp13,ARC maze and Sudoku structured reasoning,reasoning_exploration,historical_only,mixed,none,results/exp13_arc_formal_report.md,Exploratory proposal-selection panels did not support the general reasoning claim
exp14,IBL multi-session neural audit,legacy_real_data,historical_only,inconclusive,exp25,results/exp14_ibl_multisession_neural_formal_report.md,The earlier neural comparison did not establish the current hierarchical shared-model endpoint
exp15,Task-specialized ARC and Sudoku adapters,reasoning_exploration,historical_only,inconclusive,none,results/exp15_formal_report.md,Engineering adapter study failed its formal advantage gates and is outside the active mechanism theory
