experiment_id,title,track,disposition,conclusion,current_successor,canonical_evidence,reason
exp00,Local predictive fixed point,physical_low_rank,historical_only,support,exp08,results/history/branch_snapshots/real-lowdim-validation/project_README.md,Analytic fixed-point sanity check belonged to the abandoned physical-low-rank framing
exp01,Feedback dimension and geometry sweep,physical_low_rank,historical_only,support,exp08,results/history/branch_snapshots/real-lowdim-validation/report.md,Original synthetic result remains reproducible but low feedback dimension was incorrectly interpreted as low physical connection rank
exp02,Oracle context E/I gate,legacy_context_gate,historical_only,mixed,exp09,results/history/branch_snapshots/real-lowdim-validation/report.md,Oracle access to true context cannot establish hidden-context inference
exp03,Supervised Hebbian context gate,legacy_context_gate,historical_only,mixed,exp09,results/history/branch_snapshots/real-lowdim-validation/report.md,Supervised context labels and the legacy gate were superseded by leakage-safe hidden-HMM inference
exp04,Rate-matched phase gate,phase_gate,historical_only,oppose,none,results/history/branch_snapshots/real-lowdim-validation/report.md,The registered rate-matched phase effect was absent so the independent phase-gate proposal was rejected
exp05,Public sequence-memory shared dynamics,legacy_real_data,historical_only,inconclusive,exp25,results/history/branch_snapshots/real-lowdim-validation/report.md,Data coverage and validation were insufficient for the current multi-session shared-model claim
exp06,IBL context-switch pilot,legacy_real_data,historical_only,inconclusive,exp11,results/history/branch_snapshots/real-lowdim-validation/report.md,The early restricted-session protocol was superseded by leakage-safe behavior and later neural protocols
exp07,Paired mechanism-identifiability audit,credit_assignment,historical_only,support,exp08,results/history/branch_snapshots/effective-control-p0/report.md,Useful P0 precursor but the active theory now separates credit tangent physical update rank and effective control
exp12,Structured routing interface,reasoning_exploration,historical_only,inconclusive,exp13,experiments/exp12_structured_routing.py,Interface precursor without a formal result package and superseded by task-specific reasoning audits
exp13,ARC maze and Sudoku structured reasoning,reasoning_exploration,historical_only,mixed,none,results/exp13_arc_formal_report.md,Exploratory proposal-selection panels did not support the general reasoning claim
exp14,IBL multi-session neural audit,legacy_real_data,historical_only,inconclusive,exp25,results/exp14_ibl_multisession_neural_formal_report.md,The earlier neural comparison did not establish the current hierarchical shared-model endpoint
exp15,Task-specialized ARC and Sudoku adapters,reasoning_exploration,historical_only,inconclusive,none,results/exp15_formal_report.md,Engineering adapter study failed its formal advantage gates and is outside the active mechanism theory
exp16,Tiny recursive Sudoku baseline,reasoning_exploration,historical_only,inconclusive,none,results/exp16_tiny_recursive_retry_3seed_report.md,The retry did not show a reliable recursive-state advantage and the route was abandoned
exp17,Tiny recursive calibration,reasoning_exploration,historical_only,inconclusive,none,results/exp17_wichtounet_3seed_report.md,Calibration-only exploratory stage did not yield confirmatory evidence
exp18,ARC recursive canary baseline,reasoning_exploration,historical_only,inconclusive,none,results/exp18_arc1_canary_seed3000_20task_report.md,Small canaries were not an official large-scale HRM or TRM reproduction and were not promoted
exp19,Belief-controlled E/I checkpoint audit,belief_ei,historical_only,mixed,exp21,results/exp19_belief_ei_effective_dynamics_formal_report.md,Narrow checkpoint evidence was superseded by the identifiable full-trajectory Exp21 protocol
exp20,IBL belief-conditioned neural prediction,legacy_real_data,historical_only,inconclusive,exp25,results/exp20_ibl_md_belief_dynamics_formal_report.md,Negative or incomplete neural validation is retained but the protocol was superseded by Exp25
exp22,Off-policy local gain-axis proposals,controller_learning,historical_only,mixed,exp23,results/exp22_hidden_context_local_gain_axis_formal_report.md,Off-policy frozen-trajectory proposal audit was superseded by the closed-loop test
exp23,Closed-loop local population-gain controller,controller_learning,historical_only,oppose,exp24,results/exp23_failure_probe/report.md,The tested local rule axis and budget failed held-out behavior despite positive gradient alignment and was abandoned
exp27,Descriptor actuator selector development panel,selector_learning,historical_only,support,exp29,results/exp27_actuator_selector_formal_v1_c445191/formal/report.md,Positive development result was superseded by the independent one-shot Exp29 confirmation
exp28,Independent selector sensitivity and source amendment,selector_learning,historical_only,inconclusive,exp29,results/exp28_selector_sensitivity_v2_07b5ce2/summary/report.md,The original source ceiling was invalid and the amended analysis remained permanently non-confirmatory
exp30,Associative actuator trend panel,associative_control,historical_only,inconclusive,exp31,results/exp30_associative_actuator_trend_smoke_v1/report.md,Five-seed positive control was exploratory and superseded by the formal hidden-reliability test
