Claim_ID,Claim_Text,Evidence_Type,Evidence_Source,Verification_Status,Visual_Required,Notes
C0,"Prediction-prefix concentration is not a reliable operator selector under the matched causal ORBIT tape",experiment,"EXP35 retrospective v2; paired user bootstrap and exact sign-flip tests",verified-oppose,yes,"Prefix consistency 0.7592 versus equal prefix probability 0.8190; difference -0.0599; Holm p=0.00055"
C1,"Simple causal prefix vote and probability accumulation outperform prefix-consistency routing",experiment,"EXP35 six-comparison registered family",verified-retrospective,yes,"Consistency is lower than vote equal calibrated stack and validation-selected single-prefix controls; no prospective claim upgrade"
C2,"A stable wrong operator is indistinguishable from a stable correct operator by concentration alone",mixed,"Analytic concentration limit plus EXP35 exact stable-wrong intervention",verified-oppose-reliability,yes,"Consistency accuracy 0 and wrong-lock fraction 1; within-stream switch also fails to recover"
C3,"Within-operator prefix probability accumulation is beneficial while heterogeneous-bank value is unresolved",experiment,"EXP35 exploratory mechanism decomposition",exploratory-inconclusive,yes,"Per-operator prefix gains are positive; equal bank minus selected single prefix is +0.0057 with interval crossing zero"
C4,"Prefix aggregation transfers to an untouched external personalized-video cohort",experiment,"New prospective contract required; Exp35 cannot provide this",unregistered-future,no,"Do not reuse the old router-replication claim or inspect outcomes before freezing a new protocol"
C5,"The full operator bank improves accuracy or compute over a selected single prefix operator",experiment,"EXP35 exploratory bank comparisons and full-bank accounting",inconclusive,no,"No bank advantage established and all operators execute; no efficiency claim"
C6,"Generic task-dependent module selection and temporal ensembling are established prior work",citation,"Algorithm selection; expert advice; Modular Networks; SMN agreement routing; temporal adaptation",verified,no,"Novelty is the audit and failure boundary rather than actuator matching or probability accumulation"
C7,"Participating E/I and shared neural dynamics support the video result",experiment,"Separate programme-level Exp21 and open Exp25 evidence",excluded,no,"Not part of this paper"
C8,"Explicit categorical-BOCPD reset adds decision utility beyond validation-selected stationary forgetting",experiment,"EXP37 prospective CORe50 session-held panel",verified-oppose,yes,"Hard reset 0.3984 versus fixed forgetting 0.9313 and window 0.9221; detector recall zero; post-hoc scale diagnosis cannot alter the verdict"
C9,"A three-statistic causal state continuously controls memory horizon and improves untouched video utility over every fixed time scale",experiment,"EXP38 prospective Stream-51 qualification plus claim-ineligible factorized-memory diagnostic",historical-qualification-opposed-main-inconclusive,yes,"Archived stop result: 0/5 seeds passed the joint gate; direct-alpha gain 0.003813 nats missed the 0.005 reuse threshold; Stream-51 retired and no external outcome exists"
C10,"A three-dimensional causal state fitted on isolated hazard process-volatility and observation-noise changes composes them on unseen joint conditions and improves held-out predictive NLL over best fixed and seen-mode IMM filters",experiment,"Hash-frozen prospective Exp39; 30 seeds and 15360 block rows independently replayed",verified-support-bounded,yes,"Gain +0.290580 over fixed and +0.048008 over seen IMM in 30/30 seeds; not uniform across cells and remains below privileged oracles"
C11,"Clamping h Q and R produces distinct preregistered deficits on jump drift and observation-noise conditions",experiment,"Exp39 frozen five-test Holm family",verified-functional-selectivity,yes,"h/Q/R selectivity +0.037097/+0.026683/+0.052370; this does not establish calibrated parameter recovery"
C12,"A behaviorally fitted factorized state improves held-out IBL choice likelihood across animals and sessions",experiment,"New outcome-blind IBL cohort required after Exp39 synthetic pass",eligible-unverified,yes,"Old 30-session cohort is exposed and HMM context gain did not improve choice log-loss; no neural data may rescue behavior"
C13,"Pre-stimulus neural activity cross-session decodes the behaviorally verified factorized state",experiment,"IBL neural stage locked behind C12",locked-future,yes,"Neural decoding is not eligible before held-out behavioral utility"
C14,"The three controller coordinates quantitatively recover the generating h Q and R parameters",experiment,"Exp39 block-level parameter tracking",mixed-oppose-inconclusive,yes,"Log correlations h=0.089 Q=0.312 R=0.868; functional clamps cannot be interpreted as calibrated h/Q/R identification"
