user_id,oracle_gain,action_disagreement
P177,0.029382857142857096,0.11697142857142853
P198,0.08930973451327431,0.5528176991150442
P204,0.04790830870279142,0.33795441707717566
P233,0.08737285223367693,0.36568900343642613
P271,0.058359999999999954,0.3684169230769231
P421,0.0,0.004726
P452,0.06481666666666662,0.3285783333333333
P455,0.05537818181818177,0.27596181818181814
P485,0.009192941176470544,0.03069294117647054
P554,0.053941999999999934,0.412026
P609,0.03135873850197099,0.22187647831800256
P642,0.02824866200082335,0.23554055166735277
P753,0.08915599999999994,0.2631064
P900,0.05961249999999996,0.43578750000000005
P901,0.10594496741491669,0.36616292541636486
P953,0.050633846153846106,0.26570923076923075
P999,0.06776363636363632,0.5278727272727273
