participant_id,fold
0,3
1,2
2,0
3,3
4,2
5,1
6,4
7,2
8,0
9,3
10,3
11,3
12,2
13,3
14,4
15,0
16,0
17,1
18,2
19,1
20,2
21,2
22,0
23,1
24,4
25,0
26,1
27,4
28,2
29,4
30,1
31,2
32,1
33,4
34,0
35,2
36,4
37,1
38,3
39,0
40,3
41,3
42,2
43,2
44,3
45,3
46,1
47,4
48,0
49,0
50,1
51,4
52,1
53,2
54,0
55,3
56,2
57,0
58,1
59,2
60,4
61,1
62,0
63,1
64,0
65,3
66,0
67,0
68,2
69,1
70,2
71,4
72,0
73,2
74,2
75,4
76,0
77,4
78,4
79,1
80,4
81,3
82,2
83,4
84,3
85,4
86,2
87,3
88,3
89,4
90,1
91,4
92,0
93,3
94,3
95,0
96,3
97,0
98,2
99,1
100,4
101,0
102,0
103,1
104,1
105,1
106,0
107,0
108,1
109,4
110,2
111,4
112,0
113,1
114,4
115,0
116,0
117,3
118,0
119,2
120,1
121,3
122,3
123,2
124,2
125,0
126,1
127,2
128,3
129,3
130,1
131,1
132,0
133,0
134,1
135,4
136,1
137,4
138,2
139,2
140,2
141,2
142,1
143,1
144,1
145,0
146,4
147,4
148,3
149,3
150,2
151,4
152,1
153,3
154,2
155,0
156,1
157,0
158,4
159,4
160,1
161,3
162,2
163,0
164,2
165,1
166,4
167,2
168,2
169,4
170,3
171,1
172,3
173,4
174,1
175,4
176,4
177,2
178,3
179,1
180,0
181,0
182,0
183,1
184,0
185,0
186,4
187,2
188,3
189,2
190,3
191,3
192,4
193,3
194,1
195,2
196,3
197,3
198,3
199,4
200,3
201,0
202,1
203,2
204,4
205,1
206,2
207,1
208,4
209,3
210,0
211,2
212,4
213,3
214,3
215,2
216,0
217,4
218,0
219,4
220,3
221,1
222,4
